2018-05-03 15:58:45,212 | INFO  | dynamic-broker1 bridge to dynamic-broker2 stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | Thread-17
2018-05-03 15:58:45,220 | WARN  | Transport Connection to: vm://dynamic-broker1#2 failed: org.apache.activemq.transport.TransportDisposedIOException: peer (vm://dynamic-broker1#2) stopped. | org.apache.activemq.broker.TransportConnection.Transport | Thread-17
2018-05-03 15:58:45,224 | WARN  | Transport Connection to: tcp://192.168.0.113:17360 failed: java.io.IOException: Unexpected error occurred: org.apache.activemq.broker.BrokerStoppedException: Broker BrokerService[dynamic-broker1] is being stopped | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///192.168.0.113:17360@61626
2018-05-03 15:58:45,226 | INFO  | Connector vm://dynamic-broker1 stopped | org.apache.activemq.broker.TransportConnector | Thread-17
2018-05-03 15:58:45,226 | WARN  | Transport Connection to: tcp://192.168.0.113:17371 failed: java.io.IOException: Unexpected error occurred: org.apache.activemq.broker.BrokerStoppedException: Broker BrokerService[dynamic-broker1] is being stopped | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///192.168.0.113:17371@61626
2018-05-03 15:58:45,231 | INFO  | dynamic-broker1 bridge to dynamic-broker3 stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | Thread-17
2018-05-03 15:58:45,241 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] stopped | org.apache.activemq.network.NetworkConnector | Thread-17
2018-05-03 15:58:45,255 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-17
2018-05-03 15:58:45,259 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-17
2018-05-03 15:58:45,261 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-17
2018-05-03 15:58:45,263 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-17
2018-05-03 15:58:45,264 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-17
2018-05-03 15:58:45,284 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17351-1525330469417-0:1) uptime 4 minutes | org.apache.activemq.broker.BrokerService | Thread-17
2018-05-03 15:58:45,288 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17351-1525330469417-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-17
